customer_id,vintage,age,gender,dependents,occupation,customer_nw_category,branch_code,days_since_last_transaction,current_balance,previous_month_end_balance,average_monthly_balance_prevQ,average_monthly_balance_prevQ2,current_month_credit,previous_month_credit,current_month_debit,previous_month_debit,current_month_balance,previous_month_balance,churn
1.0,3135.0,66.0,Male,0.0,Engineer,Medium,755.0,224.0,1458.71,1458.71,1458.71,1449.07,0.2,0.2,0.2,,1458.71,1458.71,Yes
6.0,2531.0,42.0,Male,2.0,Engineer,Low,388.0,58.0,927.72,1401.72,1643.31,1871.12,0.33,714.61,588.62,1538.06,1157.15,1677.16,No
7.0,263.0,42.0,Female,0.0,Engineer,Medium,1666.0,60.0,15202.2,16059.34,15211.29,13798.82,0.36,0.36,857.5,286.07,15719.44,15349.75,Yes
8.0,5922.0,72.0,Male,0.0,Lawyer,High,1.0,98.0,7006.93,7714.19,7859.74,11232.37,0.64,0.64,1299.64,439.26,7076.06,7755.98,Yes
9.0,1145.0,46.0,Male,0.0,Engineer,Medium,317.0,172.0,10096.58,8519.53,6511.82,16314.17,0.27,0.27,443.13,5688.44,8563.84,5317.04,Yes
10.0,2132.0,31.0,Male,0.0,Accountant,Medium,4110.0,19.0,1355.86,1355.86,1702.44,1126.13,714.51,121.09,714.51,359.44,1183.45,1857.42,Yes
11.0,3379.0,40.0,Male,3.0,Engineer,Medium,38.0,0.0,4957.95,4244.38,2168.53,1864.33,6912.29,4206.13,1887.3,1348.85,1823.16,2416.69,Yes
12.0,661.0,68.0,Male,0.0,Lawyer,Low,709.0,5.0,1928.76,1571.47,1722.6,747.66,443.4,0.54,0.54,208.79,1606.54,1800.15,Yes
13.0,7108.0,32.0,Male,0.0,Accountant,High,89.0,20.0,6886.4,8372.64,9149.45,21007.52,7564.53,4550.24,9907.91,5161.96,8532.97,8072.33,Yes
14.0,2438.0,73.0,Male,0.0,Lawyer,Low,409.0,47.0,554.38,5728.66,1794.39,137.25,0.33,500.33,5098.9,508.53,2541.22,2612.6,No
15.0,5703.0,50.0,Male,0.0,Accountant,High,88.0,303.0,4548.48,3526.01,2831.89,8075.81,0.61,0.61,1748.08,2529.75,2985.16,1536.98,Yes
16.0,2314.0,48.0,Female,0.0,Engineer,Medium,569.0,52.0,5431.42,5489.14,6532.99,7720.34,0.66,661.73,0.66,2811.53,5437.04,6633.94,No
19.0,2723.0,49.0,Male,0.0,Engineer,Low,1023.0,0.0,1448.49,3183.27,3021.27,1710.93,190.71,113.64,2461.66,1257.41,1950.95,3127.0,No
20.0,6111.0,52.0,Female,0.0,,Medium,32.0,3.0,5292.13,3804.06,3946.99,3931.91,3916.91,0.27,0.27,16.7,4158.66,3810.95,Yes
21.0,5821.0,47.0,Female,1.0,Engineer,High,490.0,69.0,3507.71,3965.26,4356.62,3623.2,0.56,0.56,71.99,8600.56,3605.4,4022.04,Yes
22.0,3500.0,41.0,Female,0.0,Engineer,Medium,542.0,31.0,3042.7,3118.34,2843.98,2606.86,0.3,1986.01,104.44,1000.3,3101.18,2692.52,No
23.0,5724.0,45.0,Male,0.0,Engineer,Medium,501.0,23.0,2.18,1198.35,5003.79,1223.6,79.79,70.73,3588.76,744.73,43.07,6859.18,No
25.0,3101.0,41.0,Female,0.0,Engineer,Medium,1388.0,13.0,8358.47,7715.61,7819.06,7666.74,643.24,0.39,0.39,0.39,8025.96,7715.61,Yes
